step,metric,metric_display,mean,std,num_seeds,raw_seed7,smooth_seed7,raw_seed8,smooth_seed8,raw_seed9,smooth_seed9
117,validation/reward/total_mean,validation/reward/total_mean,0.34515446666666666,0.0487676471710042,3,0.393939,0.40154579999999995,0.250736,0.2825722,0.342453,0.35134540000000003
120,validation/reward/total_mean,validation/reward/total_mean,0.3485565333333333,0.045718931907714325,3,0.421988,0.4048781999999999,0.289368,0.292896,0.347567,0.34789539999999997
123,validation/reward/total_mean,validation/reward/total_mean,0.36070426666666666,0.03890146863871452,3,0.42426,0.41048260000000003,0.407694,0.3155278,0.381044,0.3561024
126,validation/reward/total_mean,validation/reward/total_mean,0.3594715333333333,0.03164876505830133,3,0.36874,0.400362,0.370847,0.3232642,0.364919,0.3547884
129,validation/reward/total_mean,validation/reward/total_mean,0.35884266666666664,0.02383966964666714,3,0.348428,0.391471,0.357242,0.3351774,0.313415,0.34987959999999996
132,validation/reward/total_mean,validation/reward/total_mean,0.35949526666666665,0.017539765543346228,3,0.349432,0.3825696,0.354056,0.3558414,0.293429,0.3400748
135,validation/reward/total_mean,validation/reward/total_mean,0.3536557333333333,0.01161434687196064,3,0.28345,0.354862,0.346355,0.3672388,0.341525,0.3388664
138,validation/reward/total_mean,validation/reward/total_mean,0.33224286666666664,0.009547514595025359,3,0.34875,0.33975999999999995,0.262489,0.3381978,0.280566,0.31877079999999997
141,validation/reward/total_mean,validation/reward/total_mean,0.3376121333333333,0.007468124720139306,3,0.370276,0.3400672,0.406261,0.3452806,0.408508,0.32748859999999996
144,validation/reward/total_mean,validation/reward/total_mean,0.33997593333333337,0.006368671054117621,3,0.3894,0.3482616,0.294715,0.3327752,0.370427,0.33889099999999994
147,validation/reward/total_mean,validation/reward/total_mean,0.3396658666666667,0.009397385321933372,3,0.326125,0.3436002,0.323706,0.32670520000000003,0.342435,0.3486922
150,validation/reward/total_mean,validation/reward/total_mean,0.3449832,0.014206209890044577,3,0.302555,0.3474212,0.345298,0.3264938,0.403237,0.36103460000000004
153,validation/reward/total_mean,validation/reward/total_mean,0.3517218,0.02560543433414089,3,0.26448,0.3305672,0.314254,0.33684679999999995,0.41415,0.3877514
156,validation/reward/total_mean,validation/reward/total_mean,0.3377615333333333,0.026661647535656086,3,0.393725,0.335257,0.254188,0.3064322,0.327728,0.3715954
159,validation/reward/total_mean,validation/reward/total_mean,0.3436855333333333,0.017608353760139608,3,0.404603,0.3382976,0.389177,0.32532459999999996,0.349622,0.3674344
162,validation/reward/total_mean,validation/reward/total_mean,0.34919866666666666,0.011836938227242546,3,0.348579,0.3427884,0.392141,0.33901159999999997,0.334243,0.365796
165,validation/reward/total_mean,validation/reward/total_mean,0.337687,0.0071016821462711825,3,0.327256,0.3477286,0.312772,0.3325064,0.238387,0.33282599999999996
168,validation/reward/total_mean,validation/reward/total_mean,0.34329699999999996,0.019605230942786656,3,0.37419,0.36967059999999996,0.339311,0.3375178,0.363533,0.3227026
171,validation/reward/total_mean,validation/reward/total_mean,0.34497633333333333,0.022533246187405466,3,0.338754,0.3586764,0.381815,0.3630432,0.280262,0.31320939999999997
174,validation/reward/total_mean,validation/reward/total_mean,0.3388290666666667,0.021733196214904875,3,0.273408,0.3324374,0.414264,0.3680606,0.363521,0.3159892
177,validation/reward/total_mean,validation/reward/total_mean,0.33213173333333335,0.0148853637790803,3,0.327478,0.3282172,0.311847,0.35200180000000003,0.335178,0.3161762
180,validation/reward/total_mean,validation/reward/total_mean,0.34442086666666666,0.0129414978322535,3,0.333009,0.3293678,0.357577,0.3609628,0.372166,0.342932
183,validation/reward/total_mean,validation/reward/total_mean,0.338706,0.018590736724150188,3,0.312665,0.31706280000000003,0.346769,0.3624544,0.331877,0.3366008
186,validation/reward/total_mean,validation/reward/total_mean,0.3394821333333333,0.01772807659454972,3,0.327911,0.3148942,0.307209,0.3475332,0.377353,0.356019
189,validation/reward/total_mean,validation/reward/total_mean,0.32973879999999994,0.006451353819677454,3,0.341548,0.3285222,0.28918,0.3225163999999999,0.274315,0.3381778
192,validation/reward/total_mean,validation/reward/total_mean,0.329919,0.005822613216303004,3,0.374597,0.33794599999999997,0.336745,0.327496,0.265864,0.324315
195,validation/reward/total_mean,validation/reward/total_mean,0.3251288666666667,0.00482370724742795,3,0.291682,0.3296806,0.31236,0.3184526,0.386858,0.32725339999999997
198,validation/reward/total_mean,validation/reward/total_mean,0.32249479999999997,0.013518925265962047,3,0.370089,0.3411654,0.302486,0.309596,0.279225,0.316723
201,validation/reward/total_mean,validation/reward/total_mean,0.322119,0.008499380062098667,3,0.292469,0.334077,0.345206,0.3171954,0.369161,0.31508459999999994
204,validation/reward/total_mean,validation/reward/total_mean,0.32718946666666665,0.011577460011975368,3,0.3837,0.3425074,0.325894,0.3245382,0.271506,0.31452280000000005
207,validation/reward/total_mean,validation/reward/total_mean,0.33661706666666674,0.009592389784036539,3,0.326686,0.33292520000000003,0.349845,0.32715820000000007,0.442089,0.3497678
210,validation/reward/total_mean,validation/reward/total_mean,0.34648266666666666,0.005091247625309778,3,0.335376,0.34166399999999997,0.444195,0.35352520000000004,0.359313,0.34425880000000003
213,validation/reward/total_mean,validation/reward/total_mean,0.35043880000000005,0.013312649402228956,3,0.33749,0.3351442,0.372829,0.3675938,0.300823,0.34857839999999995
216,validation/reward/total_mean,validation/reward/total_mean,0.3550690666666667,0.01356570001568498,3,0.35376,0.3474024,0.3779,0.3741326,0.34463,0.3436722
219,validation/reward/total_mean,validation/reward/total_mean,0.3611509333333333,0.021863603161622055,3,0.326389,0.33594019999999997,0.401527,0.3892592,0.344412,0.3582534
222,validation/reward/total_mean,validation/reward/total_mean,0.36199313333333333,0.027496970056272652,3,0.336472,0.3378974,0.405916,0.4004734,0.388865,0.3476086
225,validation/reward/total_mean,validation/reward/total_mean,0.35824733333333336,0.014220031596151799,3,0.343051,0.3394324,0.310848,0.373804,0.428798,0.3615056
228,validation/reward/total_mean,validation/reward/total_mean,0.36254953333333334,0.01270634489729007,3,0.366004,0.3451352,0.379284,0.375095,0.330387,0.36741840000000003
231,validation/reward/total_mean,validation/reward/total_mean,0.3659147333333334,0.017906944464710382,3,0.331281,0.34063940000000004,0.388375,0.37719,0.407112,0.3799148
234,validation/reward/total_mean,validation/reward/total_mean,0.363268,0.01763335300843262,3,0.315075,0.3383766,0.387595,0.3744036,0.329957,0.3770238
237,validation/reward/total_mean,validation/reward/total_mean,0.3600196,0.01025371677523163,3,0.373725,0.3458272,0.356593,0.364539,0.352209,0.3696926
240,validation/reward/total_mean,validation/reward/total_mean,0.36848166666666665,0.02253576026516278,3,0.324335,0.34208399999999994,0.47388,0.3971454,0.411413,0.3662156
243,validation/reward/total_mean,validation/reward/total_mean,0.3726306,0.027494279933106092,3,0.340482,0.3369796,0.413042,0.403897,0.384385,0.37701519999999994
246,validation/reward/total_mean,validation/reward/total_mean,0.3713986666666667,0.01972068188228347,3,0.403697,0.3514628,0.360174,0.3982568000000001,0.344418,0.3644764
249,validation/reward/total_mean,validation/reward/total_mean,0.37179500000000004,0.013793628794000033,3,0.361356,0.360719,0.352508,0.3912394,0.324708,0.3634266
252,validation/reward/total_mean,validation/reward/total_mean,0.3773823333333333,0.013184001190668794,3,0.443037,0.3745814,0.374129,0.39474660000000006,0.349171,0.362819
255,validation/reward/total_mean,validation/reward/total_mean,0.37129026666666665,0.012635232107440247,3,0.371638,0.384042,0.378922,0.375755,0.367687,0.3540738
258,validation/reward/total_mean,validation/reward/total_mean,0.37543746666666666,0.016285550577394937,3,0.387399,0.3934254,0.428765,0.3788996,0.383953,0.3539874
261,validation/reward/total_mean,validation/reward/total_mean,0.3738892,0.013258218333798349,3,0.307022,0.3740904,0.415804,0.3900256,0.362239,0.35755159999999997
264,validation/reward/total_mean,validation/reward/total_mean,0.3793974666666666,0.014783154115711898,3,0.353871,0.37259339999999996,0.401977,0.39991940000000004,0.365348,0.3656796
267,validation/reward/total_mean,validation/reward/total_mean,0.3714916,0.011599359351274532,3,0.413474,0.36668080000000003,0.311925,0.3874786,0.32235,0.3603154
270,validation/reward/total_mean,validation/reward/total_mean,0.37806673333333335,0.009208300519760518,3,0.457749,0.383903,0.367681,0.3852304,0.391444,0.3650668
273,validation/reward/total_mean,validation/reward/total_mean,0.37536986666666666,0.01177408794976871,3,0.410055,0.3884342,0.391505,0.3777784,0.358104,0.359897
276,validation/reward/total_mean,validation/reward/total_mean,0.3718684666666667,0.017986972715706068,3,0.348583,0.39674639999999994,0.301085,0.3548346,0.382876,0.3640244
279,validation/reward/total_mean,validation/reward/total_mean,0.3755444666666667,0.022530065798592125,3,0.379828,0.40193780000000007,0.362253,0.34688979999999997,0.434255,0.3778058
282,validation/reward/total_mean,validation/reward/total_mean,0.38247853333333337,0.014817580636827633,3,0.372059,0.3936548,0.385172,0.3615392,0.394529,0.3922416
285,validation/reward/total_mean,validation/reward/total_mean,0.38024900000000006,0.01558191052299643,3,0.361799,0.3744648,0.383617,0.3647264,0.438015,0.4015558
288,validation/reward/total_mean,validation/reward/total_mean,0.3816931333333333,0.015861765324480397,3,0.469909,0.3864356,0.369545,0.3603344,0.341872,0.3983094
291,validation/reward/total_mean,validation/reward/total_mean,0.39374193333333335,0.00951975047618838,3,0.376631,0.3920452,0.414533,0.383024,0.422112,0.4061566
294,validation/reward/total_mean,validation/reward/total_mean,0.39529966666666666,0.005615942699929253,3,0.366085,0.3892966,0.416122,0.39379780000000003,0.417495,0.40280459999999996
297,validation/reward/total_mean,validation/reward/total_mean,0.39593326666666667,0.0119174100881395,3,0.373997,0.38968420000000004,0.343695,0.38550239999999997,0.443572,0.4126132
300,validation/reward/total_mean,validation/reward/total_mean,0.3883920666666667,0.007379452195266414,3,0.336491,0.38462260000000004,0.36535,0.381849,0.368472,0.3987046
303,validation/reward/total_mean,validation/reward/total_mean,0.38335079999999994,0.019083572148491164,3,0.351751,0.360991,0.367512,0.38144239999999996,0.386444,0.40761900000000006
306,validation/reward/total_mean,validation/reward/total_mean,0.3767438,0.02615907328073122,3,0.299362,0.3455372,0.383025,0.3751408,0.431784,0.40955339999999996
309,validation/reward/total_mean,validation/reward/total_mean,0.3721234,0.024615568839794634,3,0.326161,0.3375524,0.469768,0.38587000000000005,0.334467,0.39294780000000007
312,validation/reward/total_mean,validation/reward/total_mean,0.37630433333333335,0.028983048124186134,3,0.370659,0.3368848,0.443047,0.4057404,0.410272,0.3862878
315,validation/reward/total_mean,validation/reward/total_mean,0.3877456666666667,0.032451042925339436,3,0.366889,0.3429644,0.430799,0.41883020000000004,0.444245,0.4014424
318,validation/reward/total_mean,validation/reward/total_mean,0.3874483333333334,0.042952647300745286,3,0.271712,0.32695660000000004,0.385789,0.4224856,0.443746,0.4129028
321,validation/reward/total_mean,validation/reward/total_mean,0.38037286666666664,0.04049977742698786,3,0.281231,0.3233304,0.292726,0.4044258,0.434082,0.4133624
324,validation/reward/total_mean,validation/reward/total_mean,0.37993720000000003,0.048809350179926214,3,0.296898,0.31747780000000003,0.376229,0.385718,0.450734,0.43661579999999994
327,validation/reward/total_mean,validation/reward/total_mean,0.36610733333333334,0.05110716687649808,3,0.288598,0.3010656,0.371116,0.3713318,0.356816,0.4259246
330,validation/reward/total_mean,validation/reward/total_mean,0.3565758666666667,0.05125408155775389,3,0.320464,0.2917806,0.378326,0.3608372,0.400171,0.4171098
333,validation/reward/total_mean,validation/reward/total_mean,0.3557471333333333,0.036251380831570486,3,0.36193,0.3098242,0.37646,0.3589714,0.350426,0.3984458
336,validation/reward/total_mean,validation/reward/total_mean,0.354242,0.024783600126427673,3,0.344016,0.32238120000000003,0.285484,0.357523,0.355962,0.3828218
339,validation/reward/total_mean,validation/reward/total_mean,0.34916299999999995,0.01581922221686851,3,0.318996,0.3268008,0.393166,0.36091039999999996,0.335514,0.3597778
342,validation/reward/total_mean,validation/reward/total_mean,0.3565530666666667,0.018272633599882515,3,0.310479,0.331177,0.433909,0.373469,0.382993,0.3650132
345,validation/reward/total_mean,validation/reward/total_mean,0.35963033333333333,0.017090712796785906,3,0.342186,0.3355214,0.361975,0.3701988,0.440959,0.37317079999999997
348,validation/reward/total_mean,validation/reward/total_mean,0.3647684666666666,0.01980046897514188,3,0.368453,0.33682599999999996,0.411256,0.377158,0.386179,0.3803214
351,validation/reward/total_mean,validation/reward/total_mean,0.37875433333333336,0.03606030603727903,3,0.307017,0.3294262,0.472815,0.4146242,0.415418,0.3922126
354,validation/reward/total_mean,validation/reward/total_mean,0.37846280000000004,0.04495091948900119,3,0.276726,0.3209722,0.473559,0.4307028,0.293018,0.3837134
357,validation/reward/total_mean,validation/reward/total_mean,0.38543273333333333,0.037494779185137515,3,0.404302,0.3397368,0.438278,0.4315766,0.38935,0.3849848
360,validation/reward/total_mean,validation/reward/total_mean,0.3880887333333334,0.03563359341682447,3,0.422526,0.35580480000000003,0.392797,0.43774100000000005,0.369637,0.3707204
363,validation/reward/total_mean,validation/reward/total_mean,0.3888626,0.03704156618863013,3,0.34895,0.3519042,0.420014,0.4394926,0.408532,0.375191
366,validation/reward/total_mean,validation/reward/total_mean,0.3956872,0.023518834842454813,3,0.434916,0.37748400000000004,0.419835,0.4288966,0.442868,0.380681
369,validation/reward/total_mean,validation/reward/total_mean,0.4013848666666667,0.006262455061360163,3,0.357349,0.39360860000000003,0.337087,0.4016022,0.434332,0.4089438
372,validation/reward/total_mean,validation/reward/total_mean,0.39510433333333334,0.021521739821450805,3,0.335408,0.37982980000000005,0.32998,0.3799426,0.472334,0.4255406
375,validation/reward/total_mean,validation/reward/total_mean,0.3932502,0.027492009708034545,3,0.409937,0.377312,0.345623,0.3705078,0.401588,0.43193079999999995
378,validation/reward/total_mean,validation/reward/total_mean,0.3999658,0.031365882464019154,3,0.333423,0.37420660000000006,0.475331,0.3815712,0.469476,0.44411959999999995
381,validation/reward/total_mean,validation/reward/total_mean,0.3905768666666667,0.04422506718482428,3,0.295342,0.34629180000000004,0.384336,0.3744714,0.477107,0.4509674
384,validation/reward/total_mean,validation/reward/total_mean,0.3877384666666666,0.04488620859680127,3,0.342404,0.34330279999999996,0.318217,0.37069739999999995,0.425571,0.4492152
387,validation/reward/total_mean,validation/reward/total_mean,0.3843048666666667,0.03608753279839946,3,0.335796,0.3433804,0.368291,0.3783596,0.382131,0.4311746
390,validation/reward/total_mean,validation/reward/total_mean,0.3858784,0.035491233325428424,3,0.410221,0.3434372,0.373292,0.3838934,0.397238,0.43030460000000004
393,validation/reward/total_mean,validation/reward/total_mean,0.382403,0.033382365469610834,3,0.387081,0.35416879999999995,0.374628,0.3637528,0.46439,0.42928739999999993
396,validation/reward/total_mean,validation/reward/total_mean,0.38744500000000004,0.022189248580337294,3,0.430727,0.38124579999999997,0.385092,0.363904,0.416596,0.41718520000000003
399,validation/reward/total_mean,validation/reward/total_mean,0.39034653333333336,0.02150212620825103,3,0.371718,0.3871086,0.3276,0.3657806,0.430397,0.41815040000000003
402,validation/reward/total_mean,validation/reward/total_mean,0.39386533333333335,0.02458789873919466,3,0.375739,0.39509720000000004,0.35516,0.3631544,0.408101,0.42334440000000007
405,validation/reward/total_mean,validation/reward/total_mean,0.39683399999999996,0.03604693276530843,3,0.363092,0.3856714,0.354212,0.3593384,0.507977,0.4454922
408,validation/reward/total_mean,validation/reward/total_mean,0.388392,0.03219213997277388,3,0.340773,0.3764098,0.359666,0.356346,0.39903,0.4324202
411,validation/reward/total_mean,validation/reward/total_mean,0.37052586666666665,0.03210277401610162,3,0.317692,0.3538028,0.315033,0.3423342,0.331698,0.4154406
414,validation/reward/total_mean,validation/reward/total_mean,0.37310513333333334,0.03137459227860799,3,0.413492,0.3621576,0.322634,0.341341,0.432278,0.4158168
417,validation/reward/total_mean,validation/reward/total_mean,0.3745554,0.03510152892890376,3,0.357824,0.35857459999999997,0.357675,0.341844,0.445255,0.4232476
420,validation/reward/total_mean,validation/reward/total_mean,0.37507013333333333,0.023590165076338255,3,0.409456,0.3678474,0.397366,0.35047480000000003,0.42618,0.40688820000000003
423,validation/reward/total_mean,validation/reward/total_mean,0.3854674,0.026243776079418656,3,0.490248,0.3977424,0.352276,0.3489968,0.412904,0.409663
426,validation/reward/total_mean,validation/reward/total_mean,0.3988588666666666,0.03320315241312022,3,0.427285,0.41966099999999995,0.330052,0.35200059999999994,0.407958,0.42491500000000004
429,validation/reward/total_mean,validation/reward/total_mean,0.4055197333333333,0.02868663974528134,3,0.437141,0.4243908,0.387545,0.3649828,0.443631,0.42718559999999994
432,validation/reward/total_mean,validation/reward/total_mean,0.40906400000000004,0.02243459189020385,3,0.391114,0.4310488,0.424065,0.3782608,0.398739,0.41788240000000004
435,validation/reward/total_mean,validation/reward/total_mean,0.4091570666666667,0.02773552307749439,3,0.442139,0.4375854,0.363755,0.37153859999999994,0.428504,0.41834720000000003
438,validation/reward/total_mean,validation/reward/total_mean,0.40391753333333336,0.023159746338468862,3,0.377857,0.4151072,0.352906,0.3716646,0.446072,0.4249808
441,validation/reward/total_mean,validation/reward/total_mean,0.4072362666666667,0.029449898555720402,3,0.411441,0.41193840000000004,0.316965,0.3690472,0.48667,0.44072320000000004
